id; palavras_original; palavras_novo; unidades_medida_original; unidades_medida_novo; números_original; números_novo; cores_original; cores_novo; materiais_original; materiais_novo; tamanho_original; tamanho_novo; quantidade_original; quantidade_novo; descricao_original
1;copo;#;;#;;#;;#;vidro;#;grande;#;;#;COPO DE VIDRO GRANDE
2;campo, operatorio;#;cm;#;45, 50;#;;#;;#;;#;;#;CAMPO OPERATÓRIO 45CMX50CM
3;bota, borracha, botina, galocha, forro, interno;#;;#;35;#;azul;#;;#;medio;#;;#;Bota de borracha, Botina Galocha  C/medio C/forro Interno. Na Cor Azul (no 35)
4;cronometro, alimentacao, bateria, relogio, memoria, timer;#;;#;10;#;;#;;#;;#;;#;CRONOMETRO - ALIMENTACAO BATERIA RELOGIO COM 10 MEMORIAS TIMER
5;fita, dupla, face, extra, forte;#;mm, m;#;19, 2;#;;#;;#;;#;;#;fita dupla face extra forte 19mmx2m
6;formulario, notificacao, lote;#;;#;100, 1;#;;#;;#;;#;;#;FORMULÁRIO DE NOTIFICAÇÃO DE LOTES 100X1
7;protocolo, requerimento, numeracao, imovel, fim, ligacao, luz, ver, bloco;#;;#;2;#;;#;;#;;#;;#;PROTOCOLO DE REQUERIMENTO PARA NUMERAÇÃO DE IMÓVEL PARA FINS DE LIGAÇÃO DE LUZ 02 VIAS BLOCO
8;;#;v;#;;#;amarelo;#;;#;;#;;#;E.V.A. AMARELO
9;argamassa, rejuntamento;#;kg;#;1;#;;#;;#;;#;pacote;#;ARGAMASSA  DE  REJUNTAMENTO , PACOTE  DE 1KG
10;boletim, inquerito, canino, acompanhamento, diario, atividade, bloco;#;;#;;#;;#;;#;;#;;#;BOLETIM PARA INQUÉRITO CANINO ACOMPANHAMENTO DIÁRIO DAS ATIVIDADES - BLOCOS
11;pasta, catalogo, envelope, oficio, visor, bolso, colchete;#;;#;100, 0, 10, 108, 4, 243, 330;#;preto;#;plastico;#;;#;unidade;#;PASTA CATALOGO COM 100 ENVELOPES OFICIO PLASTICOS 0,10 C/VISOR 108, PRETA, COM BOLSO E COM VISOR, 4 COLCHETES, UNIDADE, 243 X 330
12;jarra, cha, tampo;#;;#;;#;;#;aco, inox;#;pequeno;#;;#;JARRA P/ CHÁ EM AÇO INOX, COM TAMPA, PEQUENA
13;laco, pronto;#;mm;#;18, 390, 10;#;;#;;#;medio;#;pacote, unidade;#;Laço pronto tamanho médio com 18x390mm, pacote com 10 unidades
14;balde, resistente, alca, pegador;#;litro;#;12;#;preto;#;plastico, metal;#;;#;;#;Balde Capacidade 12 Litros, em plástico resistente, preto, com alça em metal e pegador.
15;revelador, raio, aplicacao, manutencao, utilizacao, revelacao, manual, manipulacao, pronto, uso, frasco;#;ml;#;475;#;;#;;#;;#;;#;27500 - REVELADOR PARA RAIO-X - APLICACAO: MANUTENCAO, UTILIZACAO: REVELACAO MANUAL, MANIPULACAO: PRONTO USO, FRASCO COM 475ML
16;serrote, uso, profissional;#;;#;22;#;;#;;#;;#;;#;SERROTE USO PROFISSIONAL 22"
17;amido, milhar;#;g;#;2019, 500;#;;#;;#;;#;;#;2019 - Amido de Milho 500g
18;papel, toalha, liso, apresentacao, dois, dobra, creme;#;cm;#;23, 21, 1;#;;#;;#;;#;;#;Papel Toalha, tipo lisa, apresentaçao em duas dobras, medindo 23x21cm, de 1ª qualidade, na cor creme
19;prateleira, estante, prateleira, chapa, altura, largura, profundidade;#;m, cm;#;22, 1, 90, 0, 42;#;;#;aco;#;;#;;#;PRATELEIRA DE AÇO-estante aço prateleiras em chapa de aço n-22, altura 1,90m, largura 0,90m, profundidade 42 cm,
20;escova, roupa, materia, primo, base, cabo, cerda, nylon;#;;#;;#;;#;plastico;#;;#;;#;Escova p/ roupa, Escova para roupa, materia-prima á base plastica, com cabo e cerdas de nylon
21;panetone;#;;#;;#;;#;;#;;#;;#;PANETONE
22;confeccao, boletim, escolar, impressao, frente, verso, vario, papel, gramatura;#;cm, g;#;15, 21, 180;#;;#;;#;;#;;#;CONFECÇÃO DE BOLETIM ESCOLAR 15X21 CM, IMPRESSÃO (FRENTE E VERSO) EM VÁRIAS CORES, PAPEL COM GRAMATURA DE 180G.
23;fita, calculador, mesa, olivetti, logo;#;;#;662, 49, 48;#;;#;;#;;#;;#;Fita para calculadora de mesa Olivetti Logos 662 / 49 / 48-320286
24;luva, liso, rosca;#;;#;20, 1, 2;#;;#;;#;;#;;#;LUVA LISA ROSCA 20 X 1/2
25;tecido, juta, peca;#;metro;#;1;#;;#;;#;;#;;#;tecido juta peça 01 Metro
26;jilo;#;;#;1;#;;#;;#;;#;;#;JILÓ DE 1ª
27;garrafa;#;l;#;4548, 5;#;;#;;#;;#;;#;004548 GARRAFA 5 L
28;faixa, elastico, exercicio, fisico, reabilitacao, fortalecimento;#;;#;;#;cinza;#;;#;;#;;#;FAIXA ELÁSTICA PARA EXERCÍCIOS FÍSICOS DE REABILITAÇÃO E FORTALECIMENTO CINZA
29;cadeira, escritorio, estrutura, tubo, revestimento, assento, encosto, tecido, espuma;#;;#;;#;;#;aco;#;;#;;#;CADEIRA ESCRITORIO, MATERIAL ESTRUTURA TUBO ACO, MATERIAL REVESTIMENTO ASSENTO E ENCOSTO TECIDO, MATERIAL ENCOSTO ESPUMA
30;lamina, liso, fosco, confeccao, esfregaco;#;mm;#;26, 76, 50;#;;#;;#;;#;caixa, unidade;#;LAMINA LISA FOSCA PARA CONFECÇÃO DE ESFREGAÇO 26x76mm  CAIXA COM 50 UNIDADES
31;diclofenaco, sodio;#;mg, ml;#;75, 3;#;;#;;#;;#;;#;Diclofenaco de Sodio - 75mg /3ml
32;cloreto, sodio;#;;#;;#;;#;;#;;#;;#;CLORETO DE SODIO
33;bicarbonato, sodico, solucao, injetavel;#;g, ml;#;0, 84;#;;#;;#;;#;;#;BICARBONATO SÓDICO 0,084 G/ML SOLUÇÃO INJETÁVEL
34;haloperidol, solucao, oral;#;mg, ml;#;2;#;;#;;#;;#;;#;Haloperidol, 2mg/ml, solução oral
35;acido, tioctico, comprimido;#;mg;#;600;#;;#;;#;;#;;#;ACIDO TIOCTICO 600MG COMPRIMIDO
36;hedera, helix, xarope, infantil, abrilar;#;ml;#;200;#;;#;;#;;#;;#;HEDERA HELIX XAROPE INFANTIL (ABRILAR) 200ML
37;tramadol, cloridrato, solucao, injetavel;#;mg, ml;#;50;#;;#;;#;;#;;#;Tramadol cloridrato, 50 mg/mL, solucao injetavel
38;cloridrato, dopamina, solucao, injetavel;#;mg, ml;#;5, 10;#;;#;;#;;#;;#;Cloridrato de Dopamina, 5 MG/ML, 10 ML, Solução Injetavel.
39;mebendazol, comprimido;#;mg;#;100;#;;#;;#;;#;;#;MEBENDAZOL 100MG - COMPRIMIDO
40;cloreto, sodio, hipertonico, spray, nasal;#;;#;3;#;;#;;#;;#;;#;CLORETO DE SÓDIO 3% HIPERTÔNICO ? SPRAY NASAL
41;cloreto, sodio, potassio, calcio, lactato;#;mg, ml;#;6, 00, 0, 30, 20, 3;#;;#;;#;;#;;#;CLORETO DE SÓDIO+CLORETO DE POTÁSSIO+CLORETO DE CÁLCIO+LACTATO DE SÓDIO, (6,00 + 0,30 + 0,20 + 3,00 MG/ML)
42;cefalotina, injetavel, im, iv;#;gr;#;1;#;;#;;#;;#;;#;CEFALOTINA 1 GR INJETAVEL IM/IV
43;maleato, dexclorfeniramina, betametasona, xarope;#;mg, ml;#;2, 5, 0, 25;#;;#;;#;;#;;#;MALEATO DE DEXCLORFENIRAMINA 2MG/5ML + BETAMETASONA 0,25MG/5ML XAROPE
44;cefalotina, po, solucao, injetavel;#;g;#;1;#;;#;;#;;#;;#;CEFALOTINA 1 G (PO PARA SOLUCAO INJETAVEL)
45;aminofilina, solucao, injetavel;#;mg, ml;#;24;#;;#;;#;;#;;#;Aminofilina, 24mg/ml solução injetável
46;clorpromazina;#;mg;#;25;#;;#;;#;;#;;#;CLORPROMAZINA 25MG..
47;ciprofloxacino;#;mg;#;500;#;;#;;#;;#;;#;CIPROFLOXACINO, 500 MG
48;succinato, sodico, hidrocortisona, po, solucao, injetavel;#;mg;#;100;#;;#;;#;;#;;#;SUCCINATO SODICO DE HIDROCORTISONA 100 MG PO PARA SOLUCAO INJETAVEL
49;benzilpenicilina, procaina, potassica, po, suspensao, injetavel;#;ui;#;300, 000, 100;#;;#;;#;;#;;#;BENZILPENICILINA PROCAINA + POTASSICA 300.000 + 100.000 UI, PO PARA SUSPENSAO INJETAVEL
50;dexclorfeniramina, solucao, oral;#;mg, ml;#;0, 4;#;;#;;#;;#;;#;DEXCLORFENIRAMINA 0,4 MG/ML - SOLUCAO ORAL
51;sulfadiazina;#;grama;#;120;#;;#;prata;#;;#;;#;SULFADIAZINA DE PRATA 120 GRAMAS
52;sulfato, atropina, iv, im, sc;#;mg, ml;#;0, 25, 1;#;;#;;#;;#;;#;SULFATO DE ATROPINA 0,25MG/ML 1ML IV IM SC
53;dipirona, sodico, solucao, injetavel;#;mg, ml;#;500;#;;#;;#;;#;;#;Dipirona Sódica  500 Mg/Ml - Solução Injetável
54;enalapril, maleato, comprimido;#;mg;#;20;#;;#;;#;;#;;#;ENALAPRIL MALEATO 20MG COMPRIMIDO
55;depakote, divalproato, sodio, comprimido, revestido;#;mg;#;500;#;;#;;#;;#;;#;Depakote 500 mg - Divalproato de sodio - comprimidos revestidos
56;comprimido, furosemida;#;mg;#;40;#;;#;;#;;#;;#;COMPRIMIDOS FUROSEMIDA 40 MG
57;sulfato, ferroso, solucao, oral;#;mg, ml;#;25;#;;#;;#;;#;;#;Sulfato ferroso, 25 mg/ml - solução oral
58;acido, acetil, salicilico, comprimido, revestido, aspirina, prevent;#;mg;#;100;#;;#;;#;;#;;#;ACIDO ACETIL SALICILICO 100MG COMPRIMIDO REVESTIDO  TIPO ASPIRINA PREVENT 100MG
59;escopolamina, butilbrometo, solucao, injetavel;#;mg, ml;#;20;#;;#;;#;;#;;#;Escopolamina, Butilbrometo, 20mg/ml, Solução Injetável
60;clorpromazina, cloridrato, solucao, oral;#;mg, ml;#;40;#;;#;;#;;#;;#;CLORPROMAZINA CLORIDRATO 40 MG/ML  SOLUCAO ORAL
61;ranitidina, cloridrato, apresentacao, comprimido, dosagem;#;mg;#;150;#;;#;;#;;#;;#;72173 - RANITIDINA CLORIDRATO - APRESENTACAO: COMPRIMIDO, DOSAGEM: 150 MG
62;borracha, respiro, oleo;#;;#;;#;;#;;#;;#;;#;BORRACHA RESPIRO OLEO P/
63;micro, motor;#;;#;;#;;#;;#;;#;;#;MICRO MOTOR
64;solucao, ringer, lactato, apresentacao, bolsa, frasco, sistema, fechado, composicao, cloreto, sodio, potassio, calcio;#;ml;#;500;#;;#;;#;;#;;#;SOLUCAO DE RINGER COM LACTATO - APRESENTACAO: BOLSA OU FRASCO EM SISTEMA FECHADO DE 500 ML, COMPOSICAO: CLORETO (SODIO, POTASSIO, CALCIO) + LACTATO SODIO
65;luva, procedimento, par;#;;#;50;#;;#;;#;;#;embalagem;#;LUVA DE PROCEDIMENTO TAMANHO P EMBALAGEM COM 50 PARES
66;tinta, oleo, carmim;#;ml;#;20;#;;#;;#;;#;;#;TINTA OLEO CARMIM 20ML
67;quadro, recado, moldura, minimo, ponto, fixacao, suporte, par, apagador, dimensao, minimo, altura, comprimento;#;cm;#;4, 90, 120;#;branco;#;aluminio;#;;#;;#;QUADRO BRANCO PARA RECADO, MOLDURA EM ALUMINIO, NO MINIMO 4 PONTOS DE FIXACAO, SUPORTE PAR APAGADOR, DIMENSOES MINIMAS: 90CM DE ALTURA X 120 CM DE COMPRIMENTO.
68;camiseta, basico, adulto, manga;#;;#;;#;;#;;#;;#;;#;CAMISETA BASICA ADULTO MANGA
69;cavadeira, liso, dois, ponta, ponta, par;#;m;#;3, 4, 1, 50;#;;#;aco;#;;#;;#;CAVADEIRA AÇO LISO 3/4 X 1,50M, DUAS PONTAS (PONTA X PAR).
70;agua, fibra, tampo;#;l;#;1000;#;;#;vidro;#;;#;caixa;#;CAIXA D'AGUA DE FIBRA DE VIDRO C/ TAMPA - 1000L
71;mesa, auxiliar, especificacao, tecnico, pintado;#;cm;#;40, 80;#;;#;aco, ferro;#;;#;;#;MESA AUXILIAR - ESPECIFICAÇÃO TÉCNICA: AÇO, FERRO, PINTADO MEDIDA: 40 X 40X 80 CM.
