id; palavras_original; palavras_novo; unidades_medida_original; unidades_medida_novo; números_original; números_novo; cores_original; cores_novo; materiais_original; materiais_novo; tamanho_original; tamanho_novo; quantidade_original; quantidade_novo; descricao_original
1;estante, biblioteca, dupla, face, chapa, travesso, superior, horizontal, chapeu, acabamento, lateral, oito, prateleira, regular;#;;#;20, 18, 8, 1;#;;#;aco;#;;#;;#;ESTANTE PARA BIBLIOTECA DUPLA FACE ESTANTE PARA BIBLIOTECA DUPLA FACE EM CHAPA DE AÇO - Estante face dupla com travessa superior horizontal (chapéu) em aço nº 20 e acabamento lateral em chapa em aço nº 18, com 08 (oito) prateleiras reguláveis e 01 (u
2;formulario, ver, unico, campo, preenchimento, frente, verso;#;;#;31, 6, 22, 0;#;preto, branco;#;;#;;#;;#;Formulario em via unica com campos para preenchimento frente/verso nas cores preto e branco.(31,06 X 22,0)
3;toalha, higiene, pessoal, rosto, algodao, minimo, gramatura, creme;#;m, grama;#;100, 0, 41, 70, 350;#;;#;;#;;#;;#;Toalha para Higiene Pessoal, de rosto: 100% algodão. Medidas mínimas 0,41 m x 0,70 m e gramatura - 350 gramas/m . Na cor creme.
4;caneta, marca, texto;#;;#;;#;amarelo;#;;#;;#;;#;CANETA MARCA TEXTO, AMARELA
5;solvente, diluicao, tinta, verniz, esmalte, vitral;#;ml;#;100;#;;#;;#;;#;embalagem;#;Solvente para diluicao das tintas verniz e esmalte vitral, embalagem de 100 ml.
6;corda, varal;#;metro;#;8;#;;#;aco;#;;#;;#;Corda, de aço 8 metros para varal
7;granito, andorinha, espessura, minimo;#;cm;#;2;#;cinza;#;;#;;#;;#;Granito cinza andorinha com espessura de no minimo 2 cm
8;luva, multiuso, natural, interior, algodao, palma, antiderrapante;#;g;#;100;#;;#;latex;#;;#;;#;LUVA MULTIUSO DE LATEX NATURAL INTERIOR 100 ALGODAO PALMA ANTIDERRAPANTE TAM G
9;carne, suino, osso, limpo, pele, pouco, gordura, pelanca, acordo, padrao;#;;#;1;#;;#;;#;;#;;#;CARNES SUINA 1º SEM OSSO LIMPA,SEM PELE,C/ POUCA GORDURA SEM PELANCA DE ACORDO COM PADRAO
10;ventilador, mesa, polipropileno;#;;#;;#;;#;;#;;#;;#;VENTILADOR DE MESA POLIPROPILENO
11;cabo, bisturi;#;;#;4;#;;#;metal;#;;#;;#;013314 CABO PARA BISTURI EM METAL N  04.
12;tira, lixa;#;;#;4, 12;#;;#;aco;#;;#;pacote, unidade;#;Tiras de lixas de aco n 04 pacote com 12 unidades
13;saco, lixo, apresentacao, peca, unico, largura, altura, aplicacao, coleta;#;litro;#;100, 105, 75;#;preto;#;plastico;#;;#;;#;Saco Plástico, para lixo, capacidade 100 litros, cor preto, apresentação peça única, largura 105, altura 75, aplicação coleta de lixo.
14;tubo, esgoto, classe;#;mm;#;40;#;;#;;#;;#;;#;TUBO DE ESGOTO DE 40 mm  CLASSE A
15;pao, doce, batata, pesar, minimo;#;grama;#;30;#;;#;;#;;#;;#;Pão, Doce Tipo Batata - Pesando no mínimo 30 gramas
16;milhar, espiga, bandeja;#;;#;;#;verde;#;;#;;#;;#;MILHO VERDE EM ESPIGA BANDEJA
17;apagador, quadro, escolar, negro;#;;#;;#;verde;#;;#;;#;;#;APAGADOR DE QUADRO ESCOLAR VERDE OU NEGRO
18;porta, amalgama;#;;#;;#;;#;metal;#;;#;;#;PORTA AMALGAMA, METAL
19;estetoscopio;#;;#;;#;;#;;#;;#;;#;ESTETOSCÓPIO
20;pincel, artesanato, chato, cabo, longo, cerda, macias, pintura;#;;#;2;#;;#;;#;;#;;#;Pincel para artesanato, nº 02, chato, cabo longo, cerdas macias, para pintura
21;ano, inicial, ensino, fundamental;#;;#;;#;;#;;#;;#;unidade;#;UNIDADES - Anos iniciais do ensino fundamental
22;reparo, pneu, carro, veiculo, leve;#;;#;;#;;#;;#;;#;;#;Reparo no pneu de carro - veículos leves P
23;marcador, quadro, solvente, pigmento, aditivo, resina, secagem, rapido;#;;#;;#;branco, vermelho;#;;#;;#;;#;Marcador para quadro branco com solventes, pigmentos aditivos e resina, secagem rápida, vermelho
24;pa, lixo, uso, domestico, materia, primo, cabo;#;cm;#;20;#;;#;plastico, plastico;#;;#;;#;PA PARA LIXO USO DOMESTICO PLASTICA - PA PARA LIXO USO DOMESTICO - MATERIA PRIMA DA PA: PLASTICO, MATERIA PRIMA DO CABO: PLASTICO, MEDIDA DO CABO: 20CM
25;espatula;#;;#;70;#;;#;aco, inox;#;;#;;#;ESPATULA No 70 EM ACO INOX
26;sifao, pia, cozinha, cromado, saida;#;mm;#;40;#;;#;;#;;#;;#;Sifão, para pia de cozinha cromado com saída de 40mm
27;luva, limpeza, borracha, natural;#;;#;;#;;#;latex;#;;#;;#;LUVA P/LIMPEZA DE BORRACHA LATEX NATURAL
