id; palavras_original; palavras_novo; unidades_medida_original; unidades_medida_novo; números_original; números_novo; cores_original; cores_novo; materiais_original; materiais_novo; tamanho_original; tamanho_novo; quantidade_original; quantidade_novo; descricao_original
1;faca, churrasco, fio, liso, cabo;#;;#;;#;;#;inox, plastico;#;grande;#;;#;Faca, de Churrasco Grande, com fio liso, em inox, cabo plástico.
2;pa, lixo, cabo, longo;#;;#;;#;;#;;#;;#;;#;PA P/LIXO COM CABO LONGO
3;pimentao, primeiro, proprio, bom, condicao, consumo;#;;#;;#;;#;;#;;#;embalagem;#;PIMENTÃO - DE PRIMEIRA QUALIDADE, EMBALAGENS  PRÓPRIAS, EM BOAS CONDIÇÕES PARA O CONSUMO.
4;armario, vitrine, porta, prateleira, lateral, chapa, aberto, colocacao, suporte;#;mm;#;1, 3;#;;#;vidro;#;;#;;#;ARMARIO VITRINE 01 PORTA COM 03 PRATELEIRAS LATERAIS DE CHAPA, LATERAIS DE CHAPA E PORTA ABERTA PARA COLOCACAO DE VIDRO 3 MM, PRATELEIRAS COM SUPORTE
5;filtro, linha;#;;#;;#;;#;;#;;#;;#;FILTRO DE LINHA.
6;forceps;#;;#;1;#;;#;;#;;#;;#;FORCEPS 1
7;escova, sanitario, estrutura, resistente, cerda, polipropileno, minimo, comprimento;#;cm;#;30;#;;#;madeira, plastico;#;;#;;#;Escova Sanitária, Estrutura de Madeira ou Plástico Resistente, Com Cerdas de Polipropileno, Medindo no mínimo 30 cm de Comprimento
8;bastao, silicone, grosso, diametro, refil, pistola, cola, quente;#;cm, mm;#;30, 11;#;;#;;#;;#;;#;Bastao de silicone de 30 cm grossa, 11mm de diametro (refil para pistola de cola quente)
9;coador, cafe, pano, cabo;#;;#;;#;;#;madeira;#;;#;;#;COADOR P/ CAFÉ DE PANO E CABO DE MADEIRA
10;computador, portatil, notebook;#;;#;;#;;#;;#;;#;;#;Computador portátil (notebook)
11;extensao;#;m;#;10;#;;#;;#;;#;;#;Extensao 10m
12;envelope, pardo, dimensao, minimo;#;;#;25, 34;#;;#;;#;;#;;#;ENVELOPE PARDO DIMENSÕES MÍNIMAS 25X34
